0,gj04,1,,Mekanik oyuncak bebek kıvrılarak gevşedi.
1,cj99,1,,"Daha fazla yeseydin, daha az isterdin."
2,cj99,0,*,"En çok yerken, en azını istersiniz."
3,cj99,0,*,"Ne kadar çok istersen, o kadar az yersin."
4,cj99,0,*,"John'un ne kadar çok yerse, o kadar çok ödemesini talep ediyorum."
5,cj99,1,,"Mary Grateful Dead'i dinler, depresyona girer."
6,cj99,1,,Mary sinirlendikçe resimlere daha çok baktı.
7,cj99,1,,"Bahisler ne kadar yüksek olursa, beklentileri o kadar düşük olur."
8,cj99,1,,"Fred ne kadar iğrenç olursa, ona o kadar az ilgi göstermelisin."
9,cj99,1,,"John, Fred'den çok daha iğrençti."
10,cj99,1,,"Ne kadar çok kişiye bira verirseniz, o kadar çok insan hastalanır."
11,cj99,0,*,"Bill ne kadar çok sigara içerse, Susan ondan o kadar çok nefret eder."
12,cj99,1,,"Haberlerde ne kadar çok resmi çıkarsa, John o kadar utanır."
13,cj99,1,,"Her senatör, daha fazla lobiciyle konuştuğu için daha fazla yozlaşıyor gibi görünüyor."
14,bc01,0,*,John kimi sevdiği için Sally'yi ziyaret ediyor?
15,bc01,1,,Marianne gitmedi.
16,bc01,1,,Çalışıyor olamazdı.
17,bc01,1,,O çalışıyor olamaz.
18,bc01,1,,Bob'a inanacaksın.
19,bc01,1,,"John, Mary'yi öpmedi."
20,bc01,1,,Hayatımda hiç Bangor gibi bir yer görmediğimi söyledim.
21,bc01,0,*,Mickey yukarıya baktı.
22,bc01,1,,Çok fazla tartışma olma eğilimindeydi.
23,bc01,1,,John iyi bir çocuk olmaya çalıştı.
24,bc01,1,,John hevesli.
25,bc01,1,,John'un kazanmasını istiyoruz.
26,bc01,0,*,"Kutu, ağaçtan gelen topu içeriyordu."
27,bc01,0,*,Tüp gazla kaçtı.
28,bc01,1,,Çaydanlıktan su fışkırdı.
29,bc01,1,,Küvet su sızdırdı.
30,bc01,0,*,Suyun şişeye yaptığı onu doldurmaktı.
31,bc01,0,*,Suyun bütün şişeye yaptığı şey onu doldurmaktı.
32,bc01,1,,Tank sıvıyı serbest sızdırdı.
33,bc01,1,,John topu kutuya koydu.
34,bc01,1,,John kitabın sahibidir.
35,bc01,1,,Mary'yi gitmeye ve Sue'yu kalmaya ikna ettik.
36,bc01,1,,"Çoğu insan, mahkemeler aslında bulmasa da, muhtemelen Klaus'u cinayetten suçlu buluyor."
37,bc01,0,*,Mary çok güzel keman çalar.
38,bc01,1,,"Açıkçası, John muhtemelen hemen Fransızcayı mükemmel bir şekilde öğrenecek."
39,bc01,0,*,"Sue, Bill'e bir kitap verdi."
40,bc01,1,,Erkeklerin hepsi gidecek.
41,bc01,1,,John eve gitti.
42,bc01,0,*,Dekan Mary'yi ciddi bir şekilde gerçek bir dilbilimci olarak temsil ettiler.
